1	contenttypes	0001_initial	2017-01-21 16:59:49.368324+00
2	auth	0001_initial	2017-01-21 16:59:49.423155+00
3	admin	0001_initial	2017-01-21 16:59:49.446344+00
4	admin	0002_logentry_remove_auto_add	2017-01-21 16:59:49.46407+00
5	contenttypes	0002_remove_content_type_name	2017-01-21 16:59:49.502207+00
6	auth	0002_alter_permission_name_max_length	2017-01-21 16:59:49.516796+00
7	auth	0003_alter_user_email_max_length	2017-01-21 16:59:49.530547+00
8	auth	0004_alter_user_username_opts	2017-01-21 16:59:49.542825+00
9	auth	0005_alter_user_last_login_null	2017-01-21 16:59:49.555509+00
10	auth	0006_require_contenttypes_0002	2017-01-21 16:59:49.557074+00
11	auth	0007_alter_validators_add_error_messages	2017-01-21 16:59:49.56949+00
12	auth	0008_alter_user_username_max_length	2017-01-21 16:59:49.586303+00
13	taggit	0001_initial	2017-01-21 16:59:49.61753+00
14	wagtailimages	0001_initial	2017-01-21 16:59:49.691458+00
15	wagtailcore	0001_initial	2017-01-21 16:59:50.05835+00
16	wagtailcore	0002_initial_data	2017-01-21 16:59:50.060073+00
17	wagtailcore	0003_add_uniqueness_constraint_on_group_page_permission	2017-01-21 16:59:50.061497+00
18	wagtailcore	0004_page_locked	2017-01-21 16:59:50.062923+00
19	wagtailcore	0005_add_page_lock_permission_to_moderators	2017-01-21 16:59:50.064298+00
20	wagtailcore	0006_add_lock_page_permission	2017-01-21 16:59:50.065731+00
21	wagtailcore	0007_page_latest_revision_created_at	2017-01-21 16:59:50.06776+00
22	wagtailcore	0008_populate_latest_revision_created_at	2017-01-21 16:59:50.069301+00
23	wagtailcore	0009_remove_auto_now_add_from_pagerevision_created_at	2017-01-21 16:59:50.071061+00
24	wagtailcore	0010_change_page_owner_to_null_on_delete	2017-01-21 16:59:50.072617+00
25	wagtailcore	0011_page_first_published_at	2017-01-21 16:59:50.073989+00
26	wagtailcore	0012_extend_page_slug_field	2017-01-21 16:59:50.075371+00
27	wagtailcore	0013_update_golive_expire_help_text	2017-01-21 16:59:50.076717+00
