1	wagtailcore	page
4	home	homepage
5	wagtailadmin	admin
3	wagtaildocs	document
2	wagtailimages	image
44	home	aboutpage
47	home	contactuspage
42	home	librarypage
40	home	museumpage
52	wagtailforms	formsubmission
53	wagtailredirects	redirect
54	wagtailembeds	embed
55	wagtailusers	userprofile
57	wagtailimages	rendition
58	wagtailsearch	query
59	wagtailsearch	querydailyhits
60	wagtailcore	groupcollectionpermission
63	wagtailcore	pageviewrestriction
61	wagtailcore	grouppagepermission
62	wagtailcore	site
65	wagtailcore	collection
64	wagtailcore	pagerevision
66	taggit	taggeditem
67	taggit	tag
68	admin	logentry
69	auth	group
70	auth	permission
71	auth	user
72	contenttypes	contenttype
73	sessions	session
26	home	bookspace
28	home	exhibitionpage
27	home	homepagecarouselitem
7	home	librarypagecarouselitem
6	home	aboutpagecarouselitem
9	home	contactuspagecarouselitem
20	home	museumpagecarouselitem
34	home	exhibitionpagecarouselitem
8	home	eventpagerelatedlink
10	home	eventpagespeaker
11	home	formfield
15	home	blogindexpagerelatedlink
16	home	blogpagetag
17	home	blogpagerelatedlink
21	home	eventindexpagerelatedlink
29	home	blogpagecarouselitem
35	home	eventpagecarouselitem
39	home	formpage
43	home	blogpage
78	home	bookspacecarouselitem
80	home	blogindexpagecarouselitem
83	home	eventindexpagecarouselitem
84	home	homepageblocks
85	home	aboutpageblocks
86	home	librarypageblocks
87	home	museumpageblocks
93	home	temporaryexhibitionpagecarouselitem
94	home	tempexhibpageblocks
95	home	permexhibpageblocks
96	home	permanentexhibitionpagecarouselitem
97	home	permanentexhibitionindex
98	home	temporaryexhibitionindex
100	home	exhpageblocks
45	home	eventpage
50	home	blogindexpage
51	home	eventindexpage
88	home	membershiprequest
89	home	spacerequest
90	home	contactmessage
92	home	membershippage
91	home	membershippagecarouselitem
99	wagtailcore	collectionviewrestriction
\.


