5	44	2	5
6	51	2	6
7	50	2	7
8	49	2	2
9	48	2	2
10	47	2	2
11	47	2	7
13	53	2	8
14	54	2	8
15	54	2	9
16	55	2	8
17	55	2	10
18	56	2	8
19	56	2	10
20	56	2	3
21	57	2	11
22	58	2	12
23	52	2	2
24	59	2	13
25	60	2	13
26	61	2	13
27	62	2	13
28	63	2	13
29	64	2	13
30	65	2	13
31	66	2	13
32	67	2	13
33	68	2	16
34	68	2	17
35	68	2	14
36	68	2	15
37	69	2	18
38	70	2	18
39	1	3	19
40	79	2	20
41	79	2	13
42	79	2	22
43	79	2	21
44	80	2	20
45	80	2	13
46	80	2	22
47	80	2	21
48	81	2	7
49	81	2	13
50	81	2	20
51	81	2	21
52	81	2	23
53	81	2	24
54	81	2	25
55	81	2	26
61	2	3	28
62	2	3	23
63	2	3	20
64	2	3	13
65	2	3	21
66	82	2	2
67	82	2	29
68	82	2	30
69	83	2	2
70	83	2	29
71	83	2	30
72	84	2	2
73	84	2	19
74	84	2	29
75	84	2	31
76	85	2	2
77	85	2	19
78	85	2	29
79	85	2	31
80	4	3	32
81	4	3	33
82	4	3	34
83	4	3	35
84	4	3	36
85	3	3	34
86	3	3	35
87	3	3	37
88	3	3	38
89	5	3	34
90	5	3	35
91	6	3	34
92	6	3	35
93	6	3	39
94	7	3	34
95	7	3	35
96	7	3	39
97	8	3	40
98	8	3	34
99	8	3	35
100	86	2	41
101	86	2	42
102	86	2	20
103	86	2	21
104	87	2	24
105	87	2	43
106	87	2	44
107	87	2	31
108	88	2	24
109	88	2	26
110	88	2	45
111	88	2	23
112	89	2	24
113	89	2	26
114	89	2	45
115	89	2	46
116	89	2	23
117	90	2	24
118	90	2	26
119	90	2	45
120	90	2	46
121	90	2	23
122	91	2	24
123	91	2	26
124	91	2	45
125	91	2	46
126	91	2	23
127	92	2	24
128	92	2	26
129	92	2	45
130	92	2	46
131	92	2	23
132	93	2	24
133	93	2	26
134	93	2	45
135	93	2	46
136	93	2	23
137	94	2	24
138	94	2	26
139	94	2	45
140	94	2	46
141	94	2	23
142	95	2	24
143	95	2	26
144	95	2	45
145	95	2	46
146	95	2	23
147	96	2	24
148	96	2	26
149	96	2	45
150	96	2	46
151	96	2	23
152	97	2	3
153	97	2	35
154	98	2	16
155	98	2	47
156	98	2	48
157	98	2	49
158	98	2	50
159	98	2	51
160	99	2	52
161	99	2	53
162	99	2	54
163	100	2	52
164	100	2	53
165	100	2	54
166	101	2	52
167	101	2	53
168	101	2	54
169	102	2	24
170	102	2	1
171	102	2	23
172	102	2	25
173	103	2	56
174	103	2	58
175	103	2	59
176	103	2	60
177	103	2	55
178	104	2	56
179	104	2	59
180	104	2	60
181	104	2	21
182	104	2	55
183	105	2	56
184	105	2	55
185	105	2	59
186	105	2	61
187	105	2	21
188	106	2	56
189	106	2	55
190	106	2	59
191	106	2	61
192	106	2	21
193	107	2	56
194	107	2	55
195	107	2	59
196	107	2	61
197	107	2	21
198	108	2	56
199	108	2	55
200	108	2	59
201	108	2	61
202	108	2	21
203	109	2	56
204	109	2	55
205	109	2	59
206	109	2	61
207	109	2	21
208	110	2	64
209	110	2	65
210	110	2	66
211	110	2	21
212	110	2	55
213	110	2	56
214	110	2	59
215	110	2	61
216	110	2	62
217	110	2	63
218	111	2	64
219	111	2	65
220	111	2	66
221	111	2	21
222	111	2	55
223	111	2	56
224	111	2	59
225	111	2	61
226	111	2	62
227	111	2	63
228	112	2	68
229	112	2	69
230	112	2	70
231	112	2	72
232	112	2	73
233	112	2	75
234	112	2	76
235	112	2	50
236	112	2	51
237	112	2	21
238	113	2	68
239	113	2	69
240	113	2	70
241	113	2	72
242	113	2	73
243	113	2	75
244	113	2	76
245	113	2	51
246	113	2	21
247	114	2	68
248	114	2	70
249	114	2	72
250	114	2	73
251	114	2	75
252	114	2	76
253	114	2	78
254	114	2	50
255	114	2	51
256	114	2	21
257	115	2	68
258	115	2	69
259	115	2	72
260	115	2	73
261	115	2	75
262	115	2	76
263	115	2	50
264	115	2	79
265	115	2	81
266	115	2	82
267	115	2	84
268	116	2	68
269	116	2	69
270	116	2	70
271	116	2	72
272	116	2	81
273	116	2	50
274	116	2	84
275	116	2	85
276	117	2	68
277	117	2	69
278	117	2	72
279	117	2	75
280	117	2	76
281	117	2	81
282	117	2	51
283	117	2	87
284	118	2	64
285	118	2	45
286	118	2	81
287	118	2	24
288	118	2	88
289	118	2	89
290	118	2	63
291	119	2	64
292	119	2	81
293	119	2	24
294	119	2	88
295	119	2	89
296	119	2	63
297	120	2	24
298	120	2	25
299	120	2	90
300	120	2	23
301	120	2	81
302	121	2	24
303	121	2	25
304	121	2	23
305	121	2	81
306	122	2	24
307	122	2	25
308	122	2	23
309	122	2	81
310	123	2	24
311	123	2	25
312	123	2	23
313	123	2	81
314	124	2	24
315	124	2	25
316	124	2	23
317	124	2	81
318	125	2	88
319	125	2	25
320	125	2	91
321	125	2	23
322	126	2	24
323	126	2	25
324	126	2	92
325	126	2	93
326	126	2	23
\.


