39	0001000100020005	4	1	Temporary Exhibitions	temporary-exhibitions	t	f	/home/museum/temporary-exhibitions/	Temporary Exhibitions	t	Temporary exhibitions at the Xanana Gusmão Reading Room museum	\N	\N	f	98	5	f	2018-04-18 05:23:54.227403+00	2017-04-11 15:04:44.66967+00	400	2018-04-18 05:23:54.297462+00
5	000100010008	3	0	Contact Us	contact	t	f	/home/contact/		t		\N	\N	f	47	2	f	2018-04-18 05:52:35.814944+00	2017-01-20 00:49:32.443+00	407	2018-04-18 05:52:35.896694+00
59	000100010006000A	4	0	New Zealand Journalist visits XGRR	new-zealand-journalist-visits-xgrr	t	f	/home/news/new-zealand-journalist-visits-xgrr/		f		\N	\N	f	43	9	f	2018-04-17 03:07:06.033192+00	2018-04-17 02:58:46.346995+00	375	2018-04-17 03:07:06.12133+00
53	0001000100040009	4	0	Opening of Oxfam Exhibition: Our Story	opening-oxfam-exhibition-our-story	f	t	/home/events/opening-oxfam-exhibition-our-story/		f		\N	\N	f	45	9	f	2017-12-04 07:15:55.632152+00	\N	\N	\N
55	000100010004000B	4	0	Photography Book Launch and Exhibition	photography-book-launch-and-exhibition	f	t	/home/events/photography-book-launch-and-exhibition/		f		\N	\N	f	45	9	f	2017-12-04 07:37:57.597579+00	\N	\N	\N
49	0001000100040005	4	0	Opening Ceremony 1999 Exhibition	opening-ceremony-1999-exhibition	t	f	/home/events/opening-ceremony-1999-exhibition/		f		\N	\N	f	45	9	f	2017-12-04 07:42:50.413756+00	2017-12-04 07:42:50.485523+00	302	2017-12-04 07:42:50.485523+00
42	000100010007000A	4	0	Support	support	t	f	/home/about/support/	Support Xanana Gusmão Reading Room	t	We accept any form of donations to support us in achieving our vision of creating the reading generation in Timor-Leste.	\N	\N	f	44	5	f	2018-04-18 06:00:05.337704+00	2017-05-23 13:22:29.90757+00	410	2018-04-18 06:00:05.447784+00
57	0001000100060008	4	0	Australian Study Tour Group Visit	australian-study-tour-group-visit	t	f	/home/news/australian-study-tour-group-visit/		f		\N	\N	f	43	9	f	2018-04-18 03:18:35.327103+00	2018-04-18 03:18:35.422644+00	393	2018-04-18 03:18:35.422644+00
51	0001000100040007	4	0	Leadership Training	leadership-training	t	t	/home/events/leadership-training/		f		\N	\N	f	45	9	f	2018-03-20 07:00:18.077668+00	2017-12-06 02:29:18.401077+00	305	2017-12-06 02:29:18.401077+00
7	000100010002	3	2	Museum	museum	t	f	/home/museum/		t		\N	\N	f	40	2	f	2018-04-18 07:51:39.675187+00	2017-01-20 00:49:22.573+00	414	2018-04-18 07:51:39.764701+00
